title,author,link,cover_image_url
"The court of France, 1789-1830",byPhilip Mansel,https://openlibrary.org/books/OL2529587M/The_court_of_France_1789-1830,//covers.openlibrary.org/b/id/12695401-M.jpg
Louis XVIII,byPhilip Mansel,https://openlibrary.org/books/OL13570501M/Louis_XVIII,//covers.openlibrary.org/b/id/494447-M.jpg
"Pillars of monarchy: an outline of the political and social history of royal guards, 1400-1984",byPhilip Mansel,https://openlibrary.org/books/OL2928876M/Pillars_of_monarchy,//covers.openlibrary.org/b/id/4661852-M.jpg
Thomas Cromwell: the untold story of Henry VIII's most faithful servant,byTracy Borman,https://openlibrary.org/books/OL32371513M/Thomas_Cromwell,//covers.openlibrary.org/b/id/11026488-M.jpg
The private lives of the Tudors: uncovering the secrets of Britain's greatest dynasty,byTracy Borman,https://openlibrary.org/books/OL39223855M/The_private_lives_of_the_Tudors,//covers.openlibrary.org/b/id/12859293-M.jpg
"Henrietta Howard: king's mistress, queen's servant",byTracy Borman,https://openlibrary.org/books/OL32104673M/Henrietta_Howard,//covers.openlibrary.org/b/id/10761877-M.jpg
The Ring and the Crown: A History of Royal Weddings 1066–2011,"byAlison Weir,Kate Williams,Sarah Gristwood, andTracy Borman",https://openlibrary.org/books/OL26708068M/The_Ring_and_the_Crown_A_History_of_Royal_Weddings_1066–2011,//covers.openlibrary.org/b/id/8369537-M.jpg
SAS Shadow Warriors of the 21st Century,byBarry Davies,https://openlibrary.org/books/OL12305421M/SAS_Shadow_Warriors_of_the_21st_Century,//covers.openlibrary.org/b/id/12652950-M.jpg
Fire magic: hijack to Mogadishu,byBarry Davies,https://openlibrary.org/books/OL20728068M/Fire_magic,//covers.openlibrary.org/b/id/12312727-M.jpg
The SAS self-defense handbook,byBarry Davies,https://openlibrary.org/books/OL24839346M/The_SAS_self-defense_handbook,//covers.openlibrary.org/b/id/12892244-M.jpg
SAS essential survival,byBarry Davies,https://openlibrary.org/books/OL3761053M/SAS_essential_survival,//covers.openlibrary.org/b/id/1408527-M.jpg
Operation Royal Blood,byBarry Davies,https://openlibrary.org/books/OL9635238M/Operation_Royal_Blood,//covers.openlibrary.org/b/id/2108021-M.jpg
Are You Tough Enough?,byBarry Davies,https://openlibrary.org/books/OL7981280M/Are_You_Tough_Enough,//covers.openlibrary.org/b/id/497325-M.jpg
SAS rescue,byBarry Davies,https://openlibrary.org/books/OL106983M/SAS_rescue,//covers.openlibrary.org/b/id/2350915-M.jpg
Heroes of the SAS,byBarry Davies,https://openlibrary.org/books/OL24971356M/Heroes_of_the_SAS,//covers.openlibrary.org/b/id/6886669-M.jpg
SAS: the Illustrated History,byBarry Davies BEM,https://openlibrary.org/books/OL9793437M/SAS,//covers.openlibrary.org/b/id/6691611-M.jpg
This was trucking: a pictorial history of the first quarter century of commercial motor vehicles,byRobert F. Karolevitz,https://openlibrary.org/books/OL5993976M/This_was_trucking,//covers.openlibrary.org/b/id/6649625-M.jpg
Doctors of the Old West: a pictorial history of medicine on the frontier,byRobert F. Karolevitz,https://openlibrary.org/books/OL5542335M/Doctors_of_the_Old_West,//covers.openlibrary.org/b/id/6649132-M.jpg
"Where your heart is: the story of Harvey Dunn, artist",byRobert F. Karolevitz,https://openlibrary.org/books/OL4767346M/Where_your_heart_is,//covers.openlibrary.org/b/id/10810112-M.jpg
Challenge: the South Dakota story,byRobert F. Karolevitz,https://openlibrary.org/books/OL5193808M/Challenge,//covers.openlibrary.org/b/id/8285306-M.jpg
CURIOUS LIFE OF ROBERT HOOKE: THE MAN WHO MEASURED LONDON.,byLisa JardineandLISA JARDINE,https://openlibrary.org/books/OL22545839M/CURIOUS_LIFE_OF_ROBERT_HOOKE_THE_MAN_WHO_MEASURED_LONDON.,//covers.openlibrary.org/b/id/11469140-M.jpg
On a grander scale: the outstanding life of Sir Christopher Wren,byLisa Jardine,https://openlibrary.org/books/OL17077896M/On_a_grander_scale,//covers.openlibrary.org/b/id/6687661-M.jpg
The awful end of Prince William the Silent: the first assassination of a head of state with a handgun,byLisa Jardine,https://openlibrary.org/books/OL3428166M/The_awful_end_of_Prince_William_the_Silent,//covers.openlibrary.org/b/id/37660-M.jpg
Worldly goods: a new history of the Renaissance,byLisa Jardine,https://openlibrary.org/books/OL971895M/Worldly_goods,//covers.openlibrary.org/b/id/240866-M.jpg
Ingenious Pursuits,byLisa Jardine,https://openlibrary.org/books/OL9621132M/Ingenious_Pursuits,//covers.openlibrary.org/b/id/213085-M.jpg
Global interests: Renaissance art between East and West,byLisa JardineandJerry Brotton,https://openlibrary.org/books/OL6780036M/Global_interests,//covers.openlibrary.org/b/id/564439-M.jpg
Temptation in the Archives,byLisa Jardine,https://openlibrary.org/books/OL25728110M/Temptation_in_the_Archives,//covers.openlibrary.org/b/id/7356153-M.jpg
Another Point Of View,byLisa Jardine,https://openlibrary.org/books/OL26038779M/Another_Point_Of_View,//covers.openlibrary.org/b/id/7610487-M.jpg
Old men remember,byWilliam Douglas Home,https://openlibrary.org/books/OL1457365M/Old_men_remember,//covers.openlibrary.org/b/id/3951291-M.jpg
"Orde Wingate, a biography.",byChristopher Sykes,https://openlibrary.org/books/OL6273767M/Orde_Wingate_a_biography.,//covers.openlibrary.org/b/id/10653929-M.jpg
Answer to question 33.,byChristopher Sykes,https://openlibrary.org/books/OL6037422M/Answer_to_question_33.,//covers.openlibrary.org/b/id/6903531-M.jpg
Two studies in virtue.,byChristopher Sykes,https://openlibrary.org/books/OL6133971M/Two_studies_in_virtue.,//covers.openlibrary.org/b/id/10704214-M.jpg
Tormented loyalty: the story of a German aristocrat who defied Hitler.,byChristopher Sykes,https://openlibrary.org/books/OL5683673M/Tormented_loyalty,//covers.openlibrary.org/b/id/6570423-M.jpg
Henry VIII and his court.,byNeville Williams,https://openlibrary.org/books/OL20028342M/Henry_VIII_and_his_court.,//covers.openlibrary.org/b/id/11643471-M.jpg
Royal homes of the United Kingdom,byNeville Williams,https://openlibrary.org/books/OL17274779M/Royal_homes_of_the_United_Kingdom,//covers.openlibrary.org/b/id/8177472-M.jpg
"Chronology of the expanding world, 1492 to 1762",byNeville Williams,https://openlibrary.org/books/OL22587507M/Chronology_of_the_expanding_world_1492_to_1762,//covers.openlibrary.org/b/id/9661198-M.jpg
Hedaya or guide: a commentary on the Mussulman laws,byCharles Hamilton,https://openlibrary.org/books/OL28380650M/Hedaya_or_guide,//covers.openlibrary.org/b/id/11038162-M.jpg
"Sincerely yours: the famous & infamous as they wanted to be seen, in autographed photographs from the collection of M. Wesley Marans",byCharles Hamilton,https://openlibrary.org/books/OL3172640M/Sincerely_yours,//covers.openlibrary.org/b/id/11714072-M.jpg
